,title,author,count,asin_list,narrator_count,narrator_list
2204,The Whisperer,Donato Carrisi,2,"['B006NZ49N0', 'B00CP5CIUI']",2,"['Saul Reichlin', 'Carol Monda']"
2216,The Swiss Spy,Alex Gerlis,2,"['B01639BTME', 'B072KLMSG3']",2,"['Derek Perkins', 'Stephen Critchlow']"
2217,The Swiss Family Robinson,Johann Wyss,2,"['B004ULXUVQ', 'B002V5GSTE']",2,"['B.J. Harrison', 'George Guidall']"
2221,The Zig Zag Girl,Elly Griffiths,2,"['B014LL8A0K', 'B00N25KGCW']",2,"['Daniel Philpott', 'James Langton']"
2222,"Brava, Valentine",Adriana Trigiani,2,"['B0035YPH2E', '0593290429']",2,"['Cassandra Campbell', 'Kathe Mazur']"
2224,Shots Fired,C. J. Box,2,"['B00K2ZDO1A', 'B01M24TIZO']",2,"['Chandler David', 'David Chandler']"
2225,Shadow Man,Alan Drew,2,"['B06Y1VC1K7', '1787711986']",2,"['Will Damron', 'Tim Flavin']"
2226,The Well,Catherine Chanter,2,"['B00WFFICAS', 'B00ZV21KZ6']",2,"['Nicola Barber', 'Juanita McMahon']"
2229,Kill Fee,Owen Laukkanen,2,"['B00IPTQQGA', 'B0179ZFH7Y']",2,"['Jeff Harding', 'Edoardo Ballerini']"
2231,Shadow Man,Cody McFadyen,2,"['B002V8H9XU', 'B002V8L58A']",2,"['Carolyn McCormick', 'Kate Reading']"
2233,The System Has Failed,Ms. Michel Moore,2,"['B07LBWYD45', '1980029008']",2,"['Dylan Ford', 'Misty Reign']"
