,title,author,count,asin_list,narrator_count,narrator_list
20,Treasure Island,Robert Louis Stevenson,29,"['B079DWGKL8', 'B002V8H18I', 'B00C5QLSUS', 'B002V0QN30', 'B07NY75W34', 'B00TA7KTNW', 'B0036IYNAQ', 'B072KH4K37', 'B002V9ZAOE', 'B002V1A4PM', 'B0186E3K6C', 'B079SM7S6G', 'B007PSX46C', 'B002VA3D6U', 'B07BZGW47V', 'B077P2FTNV', 'B072DVXGDS', 'B00UO5MJHI', 'B00A80J2CE', 'B0077E2HL2', 'B002V5J3FA', 'B0037YK8YO', 'B007H9N60S', 'B00AEVZRO4', 'B071WMD8XW', '0473434784', 'B002UZNAZA', 'B002UZJSLA', 'B084Q8S24L']",29,"['Robin Field', 'Charlton Griffin', 'John Chatty', 'Frederick Davidson', 'Michael Page', 'Neil Hunt', 'Michael Prichard', 'Taylor Pepper', 'Jim Hodges', 'Gildart Jackson', 'Grover Gardner', 'David Buck', 'Benjamin Luxon', 'Adrian Praetzellis', 'Tim Gregory', 'Hans Conried', 'Timothy West', 'Mark Smith', 'Kara Shallenberg', 'Austin Vanfleet', 'Jasper Britton', 'Gabriel Woolf', 'Alan Munro', 'Chris Hendrie', 'David McCallion', 'Lawrence Skinner', 'Illia Vasilets', 'David Ian Davies', 'Richard Williams']"
23,The Adventures of Tom Sawyer,Mark Twain,26,"['B005LXVD1Q', 'B0036GPL9A', 'B005E0QOVK', 'B00BLMWRS4', 'B00EUD8N3E', 'B071JCH93B', 'B007PTAC8Y', 'B002V0K9SU', '1982736925', 'B002V5CRGC', 'B002V0GIZ8', 'B00Q3HEB90', 'B002UZYY6Y', 'B0056IL0AU', 'B06XGNVRS4', 'B002V9ZGZW', 'B07PN6CNYL', 'B01HQMQLWK', 'B002V8MYY4', 'B00SZ4693U', 'B00JZSOKG8', 'B00OQP4BW8', 'B071K8JXWP', 'B002V02E74', '1467610410', '3991025108']",24,"['Robin Field', 'Christopher Hurt', 'Gregg Rizzo', 'John Greenman', 'Nick Offerman', 'Rashid Raza', 'Norman Dietz', 'Richard Henzel', 'Grover Gardner', 'Robin Nixon', 'Parzaan Dastur', 'Bob Hollands', 'Ian Lynch', 'Eric G. Dove', 'Henry Adams', 'Curtis Sisco', 'Chris Hendrie', 'Thomas Becker', 'Garrick Hagon', 'Patrick Fraley', 'B. J. Harrison', 'William Dufris', 'Dick Hill', 'Matt Armstrong']"
24,The Picture of Dorian Gray,Oscar Wilde,26,"['B002UZLN04', 'B075VF1R27', 'B01ESJS5RI', 'B074ZSTCTK', 'B002UZLLDI', 'B003IXFT98', 'B018470Z96', 'B002VAEOY0', 'B0036ILGKG', 'B01B6WNSRC', 'B07D42N48W', 'B002UZL304', 'B0033C8FUE', 'B00UI4L2OQ', 'B005ESYP2M', 'B0036MUJK0', 'B072M37TM9', 'B002V1NGB6', 'B002V8OC80', 'B01E62NCB6', 'B00GWNWEJY', 'B008D5EEOC', 'B003XSAQGO', 'B073JPKQPJ', 'B0036FX4PO', '3991011751']",24,"['Michael Page', 'Kate Petrie', 'Peter Batchelor', 'George Doyle', 'Steven Crossley', 'Grenville Peter Mills', 'Paul Lincoln', 'David Brown', 'Don Hagen', 'Simon Vance', 'Russell Tovey', 'Simon Prebble', 'Alec Sand', 'Stephen Fry', ""Gerry O'Brien"", 'Bob Neufeld', 'Greg Wise', 'Peter Silverleaf', 'David McCallion', 'Edward Petherbridge', 'Crispin Bonham-Carter', 'John Moffatt', 'Flo Gibson', 'Dick Hill']"
31,Persuasion,Jane Austen,25,"['B002V8L5OE', '2291041657', 'B002V8KJ82', 'B00HI1DR5Y', 'B07TKD3RWT', 'B01847AXAW', 'B002V5BHSG', 'B01N9OIRJD', '2291052187', 'B01B38GBC8', 'B06XG3CH4R', 'B00QPRC9XS', 'B002V0LT7K', 'B002V19U02', 'B072JX6J3X', 'B00IXXMP9U', 'B007ZGPF5M', 'B002V1A4XE', 'B00QHGXNUU', 'B073JP6279', 'B00PZKW00I', 'B00AZ2PLXO', 'B07TJ8CY69', '109424399X', '3991017083']",24,"['Mary Sarah', 'Michael Page', 'Elizabeth Nash', 'Glenda Jackson', 'Anne Flosnik', 'Olivia Williams', 'Elizabeth Klett', 'Rosalyn Landor', 'Sarah Jane Barry', 'Alice Marti', 'Magda Allani', 'Marion Castle', 'Greta Scacchi', 'Helen Stainer', 'Hiral Varsani', 'Peta Johnson', 'Harriet Stevens', 'Juliet Stevenson', 'Alice Johnson', 'Margaret Melosh', 'Paula Roscoe', 'Flo Gibson', 'Geraldine McEwan', 'Nadia May']"
32,Great Expectations,Charles Dickens,25,"['B005ZIMPJG', 'B07DK84WFP', 'B07KT3HB89', 'B002V57X02', 'B07SSD6Z8Y', 'B002V8HEWG', 'B002VACHWQ', 'B002V1CD6K', 'B017US8U2E', 'B009HZJNR0', 'B01N6EETR6', 'B077SH2HJC', 'B002UZJCYI', 'B00QMTQEFS', 'B07F1Y2FFF', 'B002V8N33A', 'B00JS8LJC8', 'B002UZKV3O', 'B0035ANA7W', 'B0091INXBA', 'B004YX3G5U', '1606461613', '0473434830', '3991018985', 'B083B8RZWN']",23,"['Charlton Griffin', 'Michael Page', 'Anton Lesser', 'Peter Batchelor', 'Gildart Jackson', 'Graham Scott', 'Simon Vance', 'Simon Prebble', 'Frank Muller', 'Andrew Timothy', 'Sarah Jane Barry', 'Tadhg Hynes', 'Gene Engene', 'Peter Silverleaf', 'Eddie Izzard', 'Mil Nicholson', 'Rob Goll', 'Lawrence Skinner', 'Philippe Duquenoy', 'David Ian Davies', 'Martin Jarvis', 'Flo Gibson', 'Dick Hill']"
37,The Hound of the Baskervilles,Arthur Conan Doyle,23,"['B00BWX2C3M', 'B00CA5G0ZM', 'B07BLPFVRH', 'B007A331ZQ', 'B00R3NFJJ4', 'B007TX411U', 'B015RYOCB6', 'B010N0RV6W', 'B002V086PI', 'B00T576HBA', 'B002V0Q7VI', 'B0036HXZCO', 'B00K5Y2XS8', 'B077T8FF71', 'B002V8MS8G', 'B07FTXLVZ4', 'B007I83VG2', 'B004AHBYEU', 'B0784Z5WRW', 'B002V8L9WM', 'B06XTCHRN2', '2291052810', '2291064029']",22,"['Frederick Davidson', 'Charlton Griffin', 'Michael Page', 'George Doyle', 'David Case', 'Rashid Raza', 'Grover Gardner', 'B.J. Harrison', 'JD Kelly', 'Simon Prebble', 'Tom Morrissey', 'Bob Neufeld', 'Walter Covell', 'Gene Engene', 'Patrick Tull', 'John Pether', 'Stephen Scalon', 'John Tatlock', 'David Timson', 'Grahame Stevens', 'Shane Sody', 'Felbrigg Napoleon Herriot']"
41,Pride and Prejudice,Jane Austen,22,"['B002UZMURE', 'B07TLCK551', 'B009KSQRGO', 'B002V0LQ46', 'B071S17YLK', 'B00AEW0NVU', 'B01N4JBSNG', 'B002V5CWJ4', 'B00BCL3M42', 'B002V01ILM', 'B01B518O1O', 'B00QMXA8OW', 'B003ACK4MO', 'B07DD352R8', 'B06ZYZ19G3', 'B01NCIJO42', 'B002V1NS96', 'B00YI1DIRE', 'B07BS9BRZC', 'B06WP37HPH', 'B002V8MFX4', 'B0042GYTZK']",21,"['Steve Patriarca', 'Josephine Bailey', 'Helen Lisanti', 'Anne Flosnik', 'Elizabeth Klett', 'Rosalyn Landor', 'Alice Marti', 'Shiromi Arserio', ""Catherine O'Brien"", 'Margarite Gavin', 'Joanna David', 'Helen Stainer', 'Harriet Stevens', 'Syvia Dorham', 'Emilia Fox', 'Flo Gibson', 'Sharon Williams', 'Karen Savage', 'Claire King', 'Victoria Mcgee', 'Kate Reading']"
42,White Fang,Jack London,22,"['B002V8MC7S', 'B00RUEF1NU', 'B01FUFEDXE', 'B00570PQ8Y', 'B00DGDA2PG', 'B007RQ1TFU', 'B00AJRVHP6', 'B07BSPP4BZ', '0473434741', 'B002V1CCT8', 'B002V8L9SQ', 'B075XYWWJF', 'B00GULVK84', 'B002V08E5A', 'B07H39R9NZ', 'B078478BKC', 'B0075927EG', 'B00GG0EA1S', 'B002V1A63C', 'B003FK0WQE', 'B071VKHXV3', '1094244678']",21,"['Kevin Theis', 'Pat Bottino', 'Curt Palmer', 'Mark F. Smith', 'Jonathan Kent', 'Norman Dietz', 'John Michaels', 'John L Chatty', 'Seth Thompson', 'John Lee', 'Mark Smith', 'Matthew Steward', 'Gene Engene', 'Bob Thomley', 'Peter Husmann', 'Michael A. Smith', 'Alan Munro', 'Lawrence Skinner', 'Flo Gibson', 'William Dufris', 'Felbrigg Napoleon Herriot']"
44,The Adventures of Huckleberry Finn,Mark Twain,22,"['229105984X', 'B071ZQRNG4', 'B00Z7PYZPE', 'B005E0QPOQ', 'B004G7OGEO', 'B002V5BHZO', 'B00846X17G', 'B072Q1GJ4Q', 'B0195A4312', 'B0794FW851', 'B002V0CBFY', 'B007PTA69E', 'B00EZ6KGSG', 'B0057AOV4Y', 'B002V1LMEY', 'B002V8MAFW', 'B0043AAAXU', 'B002V0M25I', 'B005PYUIB2', '198273969X', 'B07L6N6ZY4', 'B084MMYRY6']",21,"['Robin Field', 'Sharon Plummer', 'John Greenman', 'Mark F. Smith', 'Don Hagen', 'Jim Killavey', 'Norman Dietz', 'Eric G. Dove', 'Henry Adams', 'Denny Delk', 'Alan Munro', 'Jim Donaldson', 'Lawrence Skinner', 'Johnny Heller', 'William Fortier', 'Patrick Fraley', 'Tom Parker', 'William Dufris', 'Dick Hill', 'Sam Ryan', 'Matt Armstrong']"
47,A Tale of Two Cities,Charles Dickens,21,"['B00722LEVI', 'B011SV9D0C', 'B017DOVOB4', 'B002V8HA5C', 'B002V8L8YQ', 'B005PZZDES', 'B004TC0UI2', 'B01J29OJAQ', 'B00QMTPZDA', 'B00BQJA1KS', 'B07FB33M1N', 'B002V0QGNW', 'B073QM8TLW', 'B06XXKHDLF', 'B0163IE8UA', 'B00T576RTC', 'B07BBTMFQS', 'B004DJS3GC', 'B00GWO139A', 'B0045ZXF3A', '1467610577']",20,"['Charlton Griffin', 'Peter Batchelor', 'George Doyle', 'Gildart Jackson', 'Andrew Sachs', 'Simon Prebble', 'Jon Smith', 'Roger Watson', 'Buck Schirner', 'Ian Richardson', 'Jack Sondericker', 'Richard Pasco', 'Rob Goll', 'Jim Donaldson', 'Philippe Duquenoy', 'Paul Adams', 'David Butler', 'Martin Jarvis', 'Flo Gibson', 'Dick Hill']"
49,Sense and Sensibility,Jane Austen,21,"['B002UZI70S', 'B072J5NXMF', 'B07TGKW11Z', 'B0050DL3XK', 'B002V0ADHC', 'B002V0RHYY', 'B006R7R3E6', 'B002VA9WFG', 'B075DKYY1S', 'B00PUT84VI', 'B0087RK43Q', 'B00XAKM708', 'B002V1LSMA', 'B002VA3GUS', '0473434644', 'B007PSX8MM', 'B073QV2SM9', 'B071L829CP', '3991027534', 'B0844L5LKZ', '3991016591']",17,"['Victoria McGee', 'Wanda McCaddon', 'Juliet Stevenson', 'Cheryl Bassett', 'Glenda Jackson', 'Alice Johnson', 'Margaret Melosh', 'Flo Gibson', 'Helena Mitchell', 'Karen Savage', 'Alice Marti', 'Wendy Ellison Mullen', 'Harriet Stevens', 'Alison Larkin', 'Marion Castle', 'Anne Flosnik', 'Julie Christie']"
51,Black Beauty,Anna Sewell,21,"['B002V1A3F8', 'B078SJBV7X', 'B076B3RH9G', 'B006JA1EF0', 'B00513NN1O', 'B017WK4ACO', 'B00KAGKBK8', '1988565162', 'B002V5B268', 'B006PGW6U0', 'B006OCAOMW', 'B0092SF9V6', 'B01MTL8832', 'B002VAENUA', 'B07PB66ZZ3', 'B009NNTEM0', 'B004P7Z9KA', 'B002UZZBE8', 'B01MY87801', 'B01LYCHZ3I', 'B002V1O66A']",19,"['Cori Samuel', 'John Chatty', 'Nigel Lambert', 'Peter Batchelor', 'Kate Redding', 'Colin Salmon', 'Victoria McGee', 'Linda Barrans', 'Simon Vance', 'Jean DeBarbieris', 'Nathaniel Parker', 'Jenny Hoops', 'Jeff Harding', 'Bob Thomley', 'Ralph Cosham', 'James Langton', 'Sharon Hoyland', 'David McCallion', 'Flo Gibson']"
52,Oliver Twist,Charles Dickens,20,"['B00DU2TY02', 'B002V0TGKM', 'B07PJXMLQ5', 'B002V8MTJ4', 'B077PMNXWV', 'B004RQ63XQ', '1974937429', 'B0065OCSXM', 'B007R6E0WY', 'B014I2R4RM', 'B002V5COV0', 'B002UZKN2S', 'B07NXVSRNS', '0473434849', 'B002V0Q48Y', 'B0035ATJLS', 'B002V0PZYS', 'B06XX62564', '2291064398', 'B074MDHTVQ']",18,"['Simon Vance', 'Benjamin May', 'Tadhg Hynes', 'Tim Bentinck', 'Martin Jarvis', 'Alex Jennings', 'Gerald Dickens', 'Jonathan Keeble', 'Peter Batchelor', 'Peter Wickham', 'Matt Kelly', 'Flo Gibson', 'Miriam Margolyes', 'Mil Nicholson', 'Steven Green', 'Nadia May', 'Jonathan Pryce', 'Rob Goll']"
61,The Secret Garden,Frances Hodgson Burnett,19,"['B0051QMANS', 'B002VA8TEG', 'B0125LT39K', 'B06XKZXJ9V', 'B075M2XS3Q', 'B002VA3Q6W', 'B01848OPXW', 'B002V1LNJ8', 'B079KBCJQT', 'B007PTADCY', 'B077ZH7VC1', 'B002V8KILU', 'B002UZMRV8', 'B01NCIUAST', 'B002V0KNRM', 'B00T4XC4FI', 'B01DCNGR6C', 'B079Y4V8NP', 'B07FTQQCY7']",18,"['Heidi Gregory', 'Victoria McGee', 'Josephine Bailey', 'Virginia McKenna', 'Anne Flosnik', 'Vanessa Maroney', 'Helen Stainer', 'Wanda McCaddon', 'Philippe Duquenoy', 'Cheryl Bassett', 'Johanna Ward', 'Flo Gibson', 'Indira Varma', 'Susie Berneis', 'Taylor Pepper', 'Harriet Stevens', 'Pearl Hewitt', 'Julie Christie']"
62,The Adventures of Sherlock Holmes,Arthur Conan Doyle,19,"['B005IYXI8Y', 'B00LLM3K1W', 'B0036I522E', 'B002VA93SC', 'B074GC2QTL', 'B07844WDBX', 'B002V1LRHG', 'B00OQT6ZJ6', 'B0060NSM9W', 'B002V1NULC', 'B079V193VF', 'B07KT4J5X6', 'B01GGMNYA8', 'B06VT58WGK', '2291052845', 'B07DXLV9HN', 'B07KS82ZR7', '2291059629', 'B00SI49NA8']",19,"['David Jenkins', 'Peter Batchelor', 'Carol Phillips', 'Mark F. Smith', 'Monroe Clark McBride', 'B.J. Harrison', 'Stephen Thorne', 'Simon Prebble', 'Tom Morrissey', 'Edward Raleigh', 'Patrick Tull', 'Derek Jacobi', 'Billy Hennessy', 'Ralph Cosham', 'Emma Hogan', 'Alan Munro', 'David McCallion', 'Lawrence Skinner', 'Robert Maskell']"
63,The Scarlet Letter,Nathaniel Hawthorne,19,"['B017TFE8GU', 'B006R7QCMK', 'B01MRSELS0', 'B07F9D7LY6', 'B004VT7M20', 'B00B0VP4CC', 'B07BTK4PDX', 'B078J64YDS', 'B01JZNFEEO', 'B077S3MLH4', 'B00S7107DE', 'B01LW7N758', 'B002V5GTAW', 'B00JQN0WIM', 'B0047EJS9E', 'B002V5BQPU', 'B002V0A5QQ', 'B002V8MLDI', 'B002UZMQKA']",19,"['Charlton Griffin', 'Cori Samuel', 'Robert Bethune', 'Kate Petrie', 'Pat Bottino', 'Kristen Underwood', 'Annie Wauters', 'Shelly Frasier', 'Adam Sims', 'Magda Allani', 'Ian Lynch', 'Curtis Sisco', 'Lesley Ann Warren', 'Charles Minx', 'Philippe Duquenoy', 'Jae Huff', 'Flo Gibson', 'Dick Hill', 'Nancy Peterson']"
68,The Wind in the Willows,Kenneth Grahame,18,"['B002V1NQ70', 'B006P55BZ8', 'B002V8KIMY', 'B002V1CCMA', 'B004AH76DI', 'B002V57TTW', 'B07D6VMN82', 'B01N3QKXJZ', 'B0725BNT26', 'B002V5D7GQ', 'B0041PHOFE', 'B01MQY3WFW', 'B002UZKTT0', 'B019R5PXIM', 'B07232Z1DF', 'B003ARWV20', 'B003Q9CZEQ', 'B002V1BQMW']",17,"['Terry Jones', 'Mark F. Smith', 'Michael Page', 'David Ian Davies', 'Michael Hordern', 'Marilyn Langbehn', 'Peter Batchelor', 'Curtis Sisco', 'Ralph Cosham', 'Flo Gibson', 'Mary Woods', 'David Thorn', 'Elaine Wise', 'Shelly Frasier', 'Shane Sody', 'Anne Flosnik', 'Chris MacDonnell']"
71,The War of the Worlds,H. G. Wells,18,"['B07HP69CJL', 'B008OJXZBU', '1974925722', 'B002UZZ4MW', 'B017J4P5YK', 'B0045FG6ZO', 'B0044ZRLT0', 'B002V0KHZA', 'B00852UX0W', 'B00Y3903RE', 'B01H45S1JK', 'B00UZR2XEY', 'B07P1C9727', 'B01NH516H1', 'B00S747H66', 'B06WGLPTTL', '3990850946', 'B01D3U8QNG']",18,"['Christopher Hurt', 'David Gilmore', 'Simon Vance', 'Michael Troy', 'Rebecca Dittman', 'Bill Weideman', 'Scott R. Pollak', 'Greg Wagland', 'Simon Prebble', 'Peter Batchelor', 'Flo Gibson', 'Michael Scott', ""Gerry O'Brien"", 'Dick Hill', 'Shane Sody', 'Michael Ward', 'Mike Vendetti', 'Felbrigg Napoleon Herriot']"
72,Robinson Crusoe,Daniel Defoe,18,"['B002V5CW08', 'B01848G7G0', 'B00CWF4HDW', 'B0056ILG0O', 'B00KNAQ7WW', 'B00VJ2XYX8', 'B002UZLIN6', 'B01F66XHP2', 'B004FW5WN4', 'B0035B0XAS', 'B07FXW2V85', 'B018WD7L7Q', 'B077QDQFNQ', 'B071KTXBNR', 'B002V1NSCS', 'B00TM9H274', 'B00T3OB4ZE', 'B002UZZ800']",18,"['David McCallion', 'Charlton Griffin', 'Simon Vance', 'Lawrence Skinner', 'Tom Casaletto', 'David Warner', 'Denny Sayers', 'Jim Hodges', 'Gordon Griffin', 'Nigel Graham', 'John Lee', 'Duncan Carse', 'John Lescault', 'Daniel Weyman', 'Ron Keith', 'Dick Hill', 'Alan Munro', 'Andrew Cullum']"
74,A Little Princess,Frances Hodgson Burnett,18,"['B002UZMQCI', 'B072M1WY2J', 'B01MRV9KVK', 'B002V5BTDY', 'B006CO8244', 'B07L9XD33X', 'B079Y53WWS', 'B072XHJ2MD', 'B009GINV1W', 'B07DHTT3Y1', 'B002V5H44W', 'B0030MQ5SQ', 'B01DL38RCK', 'B002V5BKQU', 'B01N7GGHIQ', 'B06XJ7GS3B', 'B07TJZXZ3M', 'B01L80I58O']",18,"['Colleen Prendergast', 'Chloe Boyle', 'Laurie Klein', 'Vanessa Maroney', 'Wanda McCaddon', 'Justine Eyre', 'Rebecca Burns', 'Helen Stainer', 'Alice Johnson', 'Andrea Giordani', 'Johanna Ward', 'Virginia Leishman', 'Flo Gibson', 'Taylor Pepper', 'Alice Marti', 'Shiromi Arserio', 'Magda Allani', 'Kara Shallenberg']"
86,Emma,Jane Austen,16,"['3990859056', 'B00CXXEWTC', 'B009KP9IY0', 'B01MR0WXX0', 'B0195A4AQK', 'B002V1A9GQ', 'B01BO0X8TY', 'B006NY1RPO', 'B002V8HM3W', 'B00T3OAXD8', 'B00AYETUQ2', 'B008P15H9K', 'B002V0PY1W', 'B0036MUKJA', '0473434636', 'B07TKB8NZ2']",16,"['Victoria McGee', 'Jane Leclercq', 'Richard Baker', 'Michael Page', 'Cheryl Bassett', 'Anna Bentinck', 'Jennifer Mary Dixon', 'Samanthan Eggar', 'Margaret Melosh', 'Flo Gibson', 'Fiona Shaw', 'Judi Pennington', 'full cast', 'Maria Therese', 'Harriet Stevens', 'Anne Flosnik']"
93,Silas Marner,George Eliot,16,"['B0113YR5GS', 'B002VAEHUQ', 'B00J7T3QJ2', 'B00JJYINO8', 'B002V5BIDU', 'B002VAEP7G', 'B002V5GT1G', 'B07Q2RM5HY', 'B0035A80GI', 'B074WG2VL4', 'B003OET7A8', 'B01849MC86', 'B006ZC8FM2', 'B002VA96IO', 'B00UNSGL52', 'B01N49ISZA']",16,"['David McCallion', 'Charlton Griffin', 'John Peakes', 'Margaret Hilton', 'Andrew Sachs', 'Anna Bentinck', 'Gordon Griffin', 'Flo Gibson', 'Rosalyn Landor', 'Steven Green', 'Nadia May', 'Gabriel Woolf', 'Tadhg Hynes', 'Sian Phillips', 'Donna Barkman', 'Stephanie Beacham']"
98,Think and Grow Rich,Napoleon Hill,15,"['B002VA3AKO', 'B002V5D950', 'B0757N6PGM', 'B00BG0BK7A', 'B07B9FQP8P', 'B07HQWB59V', 'B06XQ45WJL', '2291053833', '1518950841', 'B01M4FC4JU', 'B00CRHY578', 'B005XPFB7Y', 'B0036JX16W', 'B07M5HM4SM', 'B00653H95U']",15,"['Jim Killavey', 'Paul Jones', 'Joel Fontinos', 'Mark White', 'Kevin Theis', 'Jason McCoy', 'John York', 'Anthony Rogers', 'Alan Henderson', 'Jim Seybert', 'Charles Conrad', 'Lloyd James', 'Erik Synnestvedt', 'Mike Vendetti', 'Russ Williams']"
101,Jane Eyre,Charlotte Brontë,15,"['B002V5CWOY', 'B0096TOT4O', 'B005QOO042', 'B072XJNCRD', 'B06XXJZSHY', 'B01LYWCYB2', 'B018H7DEBE', 'B002VACE10', 'B002V19RRI', 'B00KWWCT2S', 'B008X7706Y', 'B002V0KR64', 'B002V1JRPU', '1094243906', 'B0844YVBQF']",13,"['Elizabeth Klett', 'Wanda McCaddon', 'Juliet Stevenson', 'Emma Messenger', 'Alice Johnson', 'Andrea Giordani', 'Paula Roscoe', 'Margaret Melosh', 'Flo Gibson', 'Juliet Mills', 'Judi Pennington', 'Donna Barkman', 'Joanna David']"
111,A Princess of Mars,Edgar Rice Burroughs,15,"['B008DFUGCQ', 'B0048F5X8C', 'B007HCAON2', 'B01BLLBY6U', 'B06VSDRL8T', 'B002UZZ6G6', 'B002V8KY3C', 'B002V8HMP0', 'B002V19VQU', '1982747536', 'B01BO0XUE2', '1606466526', 'B004FEQON4', 'B01ANYS0Q8', 'B071YLS9YL']",15,"['Jim Killavey', 'Jared Field', 'Jack Sondericker', 'Peter Delloro', 'B. J. Harrison', 'Toby Scott McLellan', 'Alastair Cameron', 'Brian Holsopple', 'Felbrigg Napoleon Herriot', 'Mark Nelson', 'Macleod Andrews', 'William Dufris', 'John Bolen', 'Arthur Vincet', 'Bob Thomley']"
114,The Lost World,Arthur Conan Doyle,15,"['B002V1CDN8', 'B00IK43FO6', 'B07B1JFNR6', 'B0035B6Q68', 'B006VXRPP8', 'B076BYJZG9', 'B073JPLH6V', 'B003M5Z4W4', 'B07KT2BT5L', 'B019CVW00U', 'B06XFWQTW1', 'B002V8N9HU', 'B06XGCKZFX', 'B002UZKVKM', 'B00UXU1F3I']",15,"['Lawrence Skinner', 'Benjamin May', 'Peter Delloro', 'B. J. Harrison', 'Paul Hecht', 'Michael Prichard', 'George Doyle', 'Flo Gibson', 'Bob Neufeld', 'Glen McCready', ""Catherine O'Brien"", 'James Adams', 'Peter Newcombe Joyce', 'John Richmond', 'Felbrigg Napoleon Herriot']"
121,Dracula,Bram Stoker,15,"['B078HH6PGM', 'B01977XGA2', 'B005PYUMRW', 'B01DAHNMM2', 'B0141MQPZG', 'B071KCK32X', 'B07N138WFC', 'B019CV64TI', 'B071JG5J7K', 'B079Y763MW', 'B0035ABVSW', 'B00GWMQLW6', '2291063448', 'B002UZKUAS', 'B002V0Q7ZO']",15,"['David McCallion', 'Sarah Jane Barry', 'Greg Wise', 'Leszek Filipowicz', 'Christopher Saul', 'Nick Sandys', 'Peter Batchelor', 'John Lee', 'Flo Gibson', ""Gerry O'Brien"", 'Marc Nelson', 'Taylor Pepper', 'Rob Goll', 'Kara Shallenberg', 'Gildart Jackson']"
138,Around the World in 80 Days,Jules Verne,14,"['B07HP92Y56', 'B005S4J37E', 'B01CTDNI7C', 'B012ET8H2C', 'B00817W5WA', 'B00T3OCYFS', 'B002V012EK', 'B06XRMNGC9', 'B002V0QGGE', 'B0728899XM', 'B0731J51HD', 'B0047V6FVQ', 'B0036IPPP8', 'B002VA3DLK']",14,"['Patrick Tull', 'Noel Gibilaro', 'Kate Petrie', 'Brian Hall', 'Charles Minx', 'Corbett Woodall', 'Michael Prichard', 'Michael Scott', 'David Colacci', 'Walter Covell', 'Alan Munro', 'Mark F. Smith', 'Michael Ward', 'Felbrigg Napoleon Herriot']"
141,Kidnapped,Robert Louis Stevenson,14,"['B01BX28ONS', 'B002V59ZIK', 'B002V0TQAC', 'B00T3OCWZU', 'B004IM4MG4', 'B01BIBRG5Q', 'B00373OJDQ', 'B078C5GLTG', 'B0051478XW', 'B0182NDTR2', 'B00USHRO2W', 'B071KL3DYD', 'B002V0K9PS', '1771561505']",14,"['Frederick Davidson', 'David McCallion', 'Lawrence Skinner', 'John L. Chatty', 'Michael Page', 'David Rintoul', 'Jim Weiss', 'Nicholas Rowe', 'Flo Gibson', 'Ralph Cosham', 'Alan Munro', 'Steven Crossley', 'Kieron Elliott', 'Mark F. Smith']"
143,Little Women,Louisa May Alcott,14,"['B01KGHFFWY', 'B002V57RH6', 'B0035AM3RU', 'B002V8NCV8', 'B00Q71KVW8', 'B07L6M5W4L', 'B009I26EOW', 'B002V1LWI0', 'B00S8QOHVQ', 'B0040TOJFO', 'B00QMTQ79G', 'B002V1LCIK', 'B002V1LL2M', 'B006R6Z30I']",14,"['Rebecca Burns', 'Justine Eyre', 'Anna Koval', 'C. M. Hébert', 'Andrea Emmes', 'Barbara Caruso', 'Flo Gibson', 'Jamie Lee Curtis', 'Susie Berneis', 'Gabriel Woolf', 'Laural Merlington', 'Lorelei King', 'Victoria Mcgee', 'Sandra Burr']"
144,Gulliver's Travels,Jonathan Swift,14,"['B076CQ8VR1', 'B002V0M4M4', 'B0042LHR5Y', 'B002V0Q53I', 'B017DXLLPE', 'B007ZGP9MQ', 'B002V5BM9K', 'B0050K0UA0', 'B002UZX6XG', 'B0036MUKJ0', 'B002V19VLK', 'B071S161WL', 'B002V8H9MG', 'B084HC13F5']",14,"['Norman Dietz', 'Paul Albertson', 'Grover Gardner', 'Gordon Griffin', 'Hugh Laurie', 'Pamela Garelick', 'Jasper Britton', 'David Case', 'John Tatlock', 'Jamey Lewis', 'David Thorn', 'Walter Covell', 'John Richmond', 'Lizzie Driver']"
146,The Age of Innocence,Edith Wharton,13,"['B002VAEHLK', 'B01JQK7K70', 'B002V1LZV4', 'B002UZNCOE', 'B06VX87KZ3', 'B002V0KE26', 'B011OIIDZ0', 'B00G6U6HKK', 'B015WUKKSY', 'B00BCMTXIK', 'B00S746690', 'B0854DF4CZ', 'B0844QQL6V']",13,"['Laurel Lefkow', 'Elizabeth Klett', 'Lorna Raver', 'David Horovitch', 'Nicky Whichelow', 'Margaret Melosh', 'Barbara Caruso', 'Laural Merlington', 'Susie Berneis', 'Joanne Woodward', 'Dick Hill', 'Zöe Dean', 'Alan Munro']"
157,Frankenstein,Mary Shelley,13,"['B00FQRCM9O', '2291041622', 'B071V2RNK3', 'B017Y09SY2', 'B005FY6H1M', 'B07D4NRT1X', 'B07581VMJN', 'B013PDXQ5E', 'B019HQXFV8', 'B005E1GDNI', 'B07BTLLMTQ', 'B06XKV8LPQ', 'B01AM3GUYY']",13,"['Cori Samuel', 'David Gilmore', 'Nico Evers-Swindell', 'Derek Jacobi', 'Austin Vanfleet', 'Josh Smith', 'Mark Nelson', 'Matt Armstrong', 'Gregg Rizzo', 'Dan Stevens', 'Rob Goll', 'Chris Hendrie', 'Gildart Jackson']"
